StartTime,Dur,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,State,sTos,dTos,TotPkts,TotBytes,SrcBytes,Label
2011-08-10 09:46:53.000,7.0400213496528865,tcp,147.32.84.100,22121,->,147.32.84.1,443,FSPA_SRPA,0,0,13,861.9893548004927,497.5367983096809,Flow
2011-08-10 09:46:53.200,45.15282146376281,tcp,147.32.84.101,4116,->,147.32.84.2,443,FSPA_SRPA,0,0,10,12182.096447099102,5651.280441855074,Flow
2011-08-10 09:46:53.400,19.75218540318174,udp,147.32.84.102,54335,->,147.32.84.3,80,PA_,0,0,21,30566.50952659086,12540.950920019959,Flow
2011-08-10 09:46:53.600,13.695138306639299,tcp,147.32.84.103,23716,->,147.32.84.4,80,FSPA_SRPA,0,0,13,14027.462117347432,7478.4393275483935,Flow
2011-08-10 09:46:53.800,2.545373056935194,tcp,147.32.84.104,60442,->,147.32.84.5,80,FSPA_SRPA,0,0,10,853.222779357871,540.3019346610267,Flow
2011-08-10 09:46:54.000,2.5449443787190775,udp,147.32.84.105,24886,->,147.32.84.1,80,FSPA_SRPA,0,0,7,2663.2168950047126,1311.6235983268684,Flow
2011-08-10 09:46:54.200,0.8985815291302102,tcp,147.32.84.106,65523,->,147.32.84.2,443,FSPA_SRPA,0,0,19,26992.625301748263,18929.14880865819,Flow
2011-08-10 09:46:54.400,30.16946296719909,udp,147.32.84.107,25884,->,147.32.84.3,8080,SR_,0,0,9,10735.303824312059,7184.7268639242375,Flow
2011-08-10 09:46:54.600,13.787232304408967,tcp,147.32.84.108,14995,->,147.32.84.4,22,S_,0,0,16,13684.041311222027,9133.515197218298,Flow
2011-08-10 09:46:54.800,18.469750925568857,tcp,147.32.84.109,15640,->,147.32.84.5,443,PA_,0,0,6,2367.9453022724465,1876.8212394411446,Flow
2011-08-10 09:46:55.000,0.3129896199870793,tcp,147.32.84.110,5957,->,147.32.84.1,6667,FA_,0,0,25,2101.5201868435392,940.6719346569877,Flow
2011-08-10 09:46:55.200,52.55436212737468,tcp,147.32.84.111,5950,->,147.32.84.2,22,PA_,0,0,8,744.9809264145838,463.6484102220881,Flow
2011-08-10 09:46:55.400,26.797443150320127,udp,147.32.84.112,26787,->,147.32.84.3,6667,S_,0,0,6,5509.951712929178,4009.807686748818,Flow
2011-08-10 09:46:55.600,3.5813143787342048,tcp,147.32.84.113,4993,->,147.32.84.4,443,FSPA_SRPA,0,0,10,944.7729938798267,557.1914153916266,Flow
2011-08-10 09:46:55.800,3.0111848312449503,tcp,147.32.84.114,36757,->,147.32.84.5,80,PA_,0,0,13,18864.39981566166,13106.062297486345,Flow
2011-08-10 09:46:56.000,3.040171342483856,tcp,147.32.84.115,5343,->,147.32.84.1,80,FSPA_SRPA,0,0,17,5440.065136473392,2759.3429844034667,Flow
2011-08-10 09:46:56.200,5.442305941907157,tcp,147.32.84.116,42767,->,147.32.84.2,22,FSPA_SRPA,0,0,6,6336.884863017067,3772.003293916375,Flow
2011-08-10 09:46:56.400,11.159917462912816,udp,147.32.84.117,40900,->,147.32.84.3,80,FSPA_SRPA,0,0,7,1963.2435976421039,643.6164239310951,Flow
2011-08-10 09:46:56.600,8.48405600170505,tcp,147.32.84.118,42933,->,147.32.84.4,80,FSPA_SRPA,0,0,7,5725.792910966867,4539.888457936308,Flow
2011-08-10 09:46:56.800,5.164344888309123,tcp,147.32.84.119,21347,->,147.32.84.5,443,FSPA_SRPA,0,0,13,2294.9336630849166,1606.4747710084994,Flow
2011-08-10 09:46:57.000,14.19656310849698,icmp,147.32.84.100,17452,->,147.32.84.1,443,FSPA_SRPA,0,0,16,18150.76289037452,13330.002595206783,Flow
2011-08-10 09:46:57.200,2.25451793091008,tcp,147.32.84.101,35602,->,147.32.84.2,443,S_,0,0,4,3522.199392943449,2279.381260382632,Flow
2011-08-10 09:46:57.400,5.183732680036035,udp,147.32.84.102,21974,->,147.32.84.3,80,FSPA_SRPA,0,0,11,2027.175743872129,796.7307799898433,Flow
2011-08-10 09:46:57.600,6.845158273312706,tcp,147.32.84.103,44065,->,147.32.84.4,443,S_,0,0,8,9989.010560985662,3151.6748877980285,Flow
2011-08-10 09:46:57.800,9.135020317896624,tcp,147.32.84.104,65164,->,147.32.84.5,443,PA_,0,0,35,28967.32951798966,21213.595293495015,Flow
2011-08-10 09:46:58.000,23.07004016546368,tcp,147.32.84.105,61866,->,147.32.84.1,6667,PA_,0,0,23,31062.485889907613,15474.253436680376,Flow
2011-08-10 09:46:58.200,3.342037931930354,tcp,147.32.84.106,42813,->,147.32.84.2,22,FSPA_SRPA,0,0,2,2687.2124593092904,1160.6942290270742,Flow
2011-08-10 09:46:58.400,10.831437325496916,icmp,147.32.84.107,19317,->,147.32.84.3,6667,FA_,0,0,23,31027.66410483519,18021.999183262404,Flow
2011-08-10 09:46:58.600,13.463570819646408,tcp,147.32.84.108,7388,->,147.32.84.4,53,FSPA_SRPA,0,0,8,1380.7051158388263,704.7799063672624,Flow
2011-08-10 09:46:58.800,0.7144577463461281,tcp,147.32.84.109,64355,->,147.32.84.5,443,PA_,0,0,6,1397.1422124558885,874.3776992353579,Flow
2011-08-10 09:46:59.000,14.030995309744151,tcp,147.32.84.110,36373,->,147.32.84.1,80,PA_,0,0,5,7214.186551819062,3909.3432834271866,Flow
2011-08-10 09:46:59.200,2.805418779661246,tcp,147.32.84.111,1715,->,147.32.84.2,22,FSPA_SRPA,0,0,15,11170.361200088902,7245.281369721739,Flow
2011-08-10 09:46:59.400,1.0099589631895636,tcp,147.32.84.112,62387,->,147.32.84.3,443,FSPA_SRPA,0,0,10,3965.4681774949013,2881.7518618345507,Flow
2011-08-10 09:46:59.600,44.60631690260396,icmp,147.32.84.113,31086,->,147.32.84.4,443,FSPA_SRPA,0,0,8,9107.613007553013,3622.8126906154694,Flow
2011-08-10 09:46:59.800,50.56045513691759,tcp,147.32.84.114,1955,->,147.32.84.5,443,FA_,0,0,14,6061.190363376748,2816.73480954451,Flow
2011-08-10 09:47:00.000,24.78597359219315,tcp,147.32.84.115,46920,->,147.32.84.1,443,S_,0,0,4,4316.772401896099,2237.848454981925,Flow
2011-08-10 09:47:00.200,5.450317899531375,tcp,147.32.84.116,58086,->,147.32.84.2,80,FA_,0,0,12,14794.211350539197,11554.711411008062,Flow
2011-08-10 09:47:00.400,1.5426597250375935,tcp,147.32.84.117,32754,->,147.32.84.3,443,FSPA_SRPA,0,0,4,4635.326698816847,2237.3183360710013,Flow
2011-08-10 09:47:00.600,17.292261446479927,tcp,147.32.84.118,15250,->,147.32.84.4,80,FSPA_SRPA,0,0,8,3572.5659219545423,1752.5219443446776,Flow
2011-08-10 09:47:00.800,8.702362638780974,tcp,147.32.84.119,14885,->,147.32.84.5,53,FSPA_SRPA,0,0,24,14991.828705950757,9395.922675912834,Flow
2011-08-10 09:47:01.000,1.9532835093167296,udp,147.32.84.100,32325,->,147.32.84.1,80,FA_,0,0,11,7049.882405650192,3592.6190512984663,Flow
2011-08-10 09:47:01.200,10.254208422012251,tcp,147.32.84.101,49267,->,147.32.84.2,80,FSPA_SRPA,0,0,5,3749.0849683692136,2907.834813677416,Flow
2011-08-10 09:47:01.400,0.5259058216521862,tcp,147.32.84.102,23790,->,147.32.84.3,443,FSPA_SRPA,0,0,8,2381.220006000239,1779.3294553932533,Flow
2011-08-10 09:47:01.600,36.00734331089536,tcp,147.32.84.103,37198,->,147.32.84.4,22,FA_,0,0,7,4869.537332648953,2710.892804938841,Flow
2011-08-10 09:47:01.800,4.492866652610291,udp,147.32.84.104,64952,->,147.32.84.5,443,PA_,0,0,4,3108.212219038439,1934.512796056569,Flow
2011-08-10 09:47:02.000,16.294836978474706,tcp,147.32.84.105,42131,->,147.32.84.1,80,PA_,0,0,22,17737.84670299728,5836.022616289413,Flow
2011-08-10 09:47:02.200,5.604198724864355,tcp,147.32.84.106,51208,->,147.32.84.2,443,FSPA_SRPA,0,0,6,7251.486001549822,4697.985892903846,Flow
2011-08-10 09:47:02.400,11.012663438638429,tcp,147.32.84.107,18719,->,147.32.84.3,80,FSPA_SRPA,0,0,7,5503.392719141627,3597.019883321641,Flow
2011-08-10 09:47:02.600,11.869356969726963,tcp,147.32.84.108,42371,->,147.32.84.4,6667,FA_,0,0,5,1930.8717791454528,926.0454252668331,Flow
2011-08-10 09:47:02.800,3.066828992618586,tcp,147.32.84.109,4145,->,147.32.84.5,6667,PA_,0,0,3,2969.183155766656,1216.8943055651998,Flow
2011-08-10 09:47:03.000,52.393106991043396,tcp,147.32.84.110,19281,->,147.32.84.1,443,FSPA_SRPA,0,0,19,22363.960357753647,16941.576658562255,Flow
2011-08-10 09:47:03.200,22.384680657072114,tcp,147.32.84.111,29188,->,147.32.84.2,80,FSPA_SRPA,0,0,23,11726.385465999709,6019.7687133359605,Flow
2011-08-10 09:47:03.400,42.07741628937373,tcp,147.32.84.112,26515,->,147.32.84.3,22,FSPA_SRPA,0,0,11,10613.317845994345,6652.990687862026,Flow
2011-08-10 09:47:03.600,33.783279963012944,udp,147.32.84.113,60246,->,147.32.84.4,80,PA_,0,0,19,5113.383404472039,1619.2264749029307,Flow
2011-08-10 09:47:03.800,13.666816185749125,udp,147.32.84.114,24189,->,147.32.84.5,443,FSPA_SRPA,0,0,13,7037.278575482707,3568.136572725811,Flow
2011-08-10 09:47:04.000,38.242530689041075,tcp,147.32.84.115,49738,->,147.32.84.1,80,PA_,0,0,5,6666.383028256446,4723.99504219492,Flow
2011-08-10 09:47:04.200,1.3908318842967342,tcp,147.32.84.116,4772,->,147.32.84.2,6667,PA_,0,0,5,6680.930978874744,3298.963547535177,Flow
2011-08-10 09:47:04.400,3.273020419469012,tcp,147.32.84.117,34069,->,147.32.84.3,80,S_,0,0,8,6937.2248954025345,4173.299776641468,Flow
2011-08-10 09:47:04.600,0.6952294853024793,tcp,147.32.84.118,27577,->,147.32.84.4,443,FSPA_SRPA,0,0,3,3133.447918103067,1268.8204859959865,Flow
2011-08-10 09:47:04.800,5.903981302046303,tcp,147.32.84.119,52035,->,147.32.84.5,22,S_,0,0,7,8793.438637392459,4469.377958203111,Flow
2011-08-10 09:47:05.000,7.382954376913279,tcp,147.32.84.100,61404,->,147.32.84.1,443,PA_,0,0,12,16825.682960357124,12851.773961123172,Flow
2011-08-10 09:47:05.200,4.7494066481323856,tcp,147.32.84.101,45355,->,147.32.84.2,80,FSPA_SRPA,0,0,12,8974.577647734217,5234.205900013698,Flow
2011-08-10 09:47:05.400,26.46936797861401,udp,147.32.84.102,31521,->,147.32.84.3,6667,SR_,0,0,12,10175.516739959327,7641.464352135831,Flow
2011-08-10 09:47:05.600,6.619404992948053,tcp,147.32.84.103,32332,->,147.32.84.4,443,FSPA_SRPA,0,0,4,2576.942508161484,1935.3086904667693,Flow
2011-08-10 09:47:05.800,4.9480426020137385,tcp,147.32.84.104,56105,->,147.32.84.5,443,PA_,0,0,12,1973.8414095692945,1523.95143548659,Flow
2011-08-10 09:47:06.000,11.73710624811619,udp,147.32.84.105,40584,->,147.32.84.1,80,FSPA_SRPA,0,0,12,7850.803770462608,5870.013241637615,Flow
2011-08-10 09:47:06.200,2.279472217309433,tcp,147.32.84.106,54889,->,147.32.84.2,443,PA_,0,0,7,8174.01036045143,2465.6130993975166,Flow
2011-08-10 09:47:06.400,24.308253936620968,tcp,147.32.84.107,47710,->,147.32.84.3,443,PA_,0,0,9,10688.581396765567,8198.221516260202,Flow
2011-08-10 09:47:06.600,1.163138032169635,tcp,147.32.84.108,11398,->,147.32.84.4,80,FSPA_SRPA,0,0,6,7858.550711833478,2897.6811999863507,Flow
2011-08-10 09:47:06.800,65.0131950938098,tcp,147.32.84.109,5699,->,147.32.84.5,80,PA_,0,0,13,1766.0177655334867,565.0605640467675,Flow
2011-08-10 09:47:07.000,22.19325664362267,udp,147.32.84.110,2194,->,147.32.84.1,53,PA_,0,0,8,6399.262456436519,2097.00162185214,Flow
2011-08-10 09:47:07.200,3.324091607588289,tcp,147.32.84.111,42473,->,147.32.84.2,80,S_,0,0,9,1925.6812664414263,913.6550702370671,Flow
2011-08-10 09:47:07.400,0.08406130563903212,tcp,147.32.84.112,44509,->,147.32.84.3,80,FSPA_SRPA,0,0,3,1032.708263098133,630.3672332405205,Flow
2011-08-10 09:47:07.600,25.34945166229189,udp,147.32.84.113,59550,->,147.32.84.4,443,FSPA_SRPA,0,0,5,6603.5111866166335,3309.3865993421514,Flow
2011-08-10 09:47:07.800,18.40743861080567,udp,147.32.84.114,62847,->,147.32.84.5,53,PA_,0,0,25,18938.014919196386,5923.3781877285855,Flow
2011-08-10 09:47:08.000,19.585943631819987,udp,147.32.84.115,13474,->,147.32.84.1,80,FSPA_SRPA,0,0,7,7860.500967001709,4230.846393445446,Flow
2011-08-10 09:47:08.200,22.129217890652704,tcp,147.32.84.116,11704,->,147.32.84.2,443,PA_,0,0,9,1384.9219068879456,721.6348474058225,Flow
