Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Src IP,Src Port,port_sequence_entropy,ttl_mean,ttl_std,tcp_window_mean,fragment_flag_count,retransmission_count,Episode_ID,Label
80,17,2026-09-12 00:00:00.000,24023.82378141644,18,4,15625.231662312382,1613.3321683495874,1041.6821108208255,694.454740547217,868.0684256840212,173.61368513680426,483.9996505048762,322.6664336699175,403.33304208739685,80.66660841747938,717561.2003946188,915.7576329301099,1091.9919900643836,143.48330994132806,1603.2966714535462,805.397787746933,21621.441403274795,1091.9919900643836,143.48330994132806,1603.2966714535462,805.397787746933,19219.059025133152,1091.9919900643836,143.48330994132806,1603.2966714535462,805.397787746933,1,0,0,0,360,80,549.454579758066,366.303053172044,307.04452444313773,1560.5680971624229,783.5710832119076,106.9401706321599,11436.200094835476,0,1,0,1,1,0,0,0,0.2222222222222222,783.5710832119076,868.0684256840212,403.33304208739685,0,0,0,0,0,0,18,15625.231662312382,4,1613.3321683495874,34771,44685,18,20,0,0,0,0,0,0,0,0,192.168.1.1,26203,3.3856599778849144,64,2.981531216958655,57705.53781639782,0,0,0,BENIGN
80,6,2026-09-12 00:00:00.100,21329.67411873806,17,8,6219.074762769192,10537.663720466197,438.9935126660606,292.66234177737374,365.8279272217172,73.16558544434344,1580.6495580699295,1053.7663720466196,1317.2079650582746,263.4415930116549,785606.8681571952,1172.076041144837,853.1869647495224,249.6678072779208,1906.1339231230008,223.5272105240789,19196.706706864257,853.1869647495224,249.6678072779208,1906.1339231230008,223.5272105240789,17063.73929499045,853.1869647495224,249.6678072779208,1906.1339231230008,223.5272105240789,0,0,0,0,340,160,703.2456246869023,468.83041645793486,297.23249009616956,1248.5947091647045,670.2695393294156,151.52217146860792,22958.96844656222,0,0,0,0,0,0,0,0,0.47058823529411764,670.2695393294156,365.8279272217172,1317.2079650582746,0,0,0,0,0,0,17,6219.074762769192,8,10537.663720466197,31150,62174,17,20,0,0,0,0,0,0,0,0,192.168.1.2,50352,2.2623188328583677,128,3.562715295192957,11682.993430691045,0,0,0,BENIGN
8080,6,2026-09-12 00:00:00.200,92065.7633390843,5,3,5062.501722308267,820.0254881164625,1215.000413353984,810.0002755693228,1012.5003444616534,202.5000688923307,328.010195246585,218.67346349772333,273.34182937215417,54.66836587443083,63894.839917407655,86.89440797373797,11508.220417385537,4151.028165798116,26320.776626953837,8198.988009339728,82859.18700517587,11508.220417385537,4151.028165798116,26320.776626953837,8198.988009339728,73652.61067126744,11508.220417385537,4151.028165798116,26320.776626953837,8198.988009339728,0,0,0,0,100,60,52.13664478424278,34.757763189495186,179.31650464466142,1426.8820275945745,735.3159013030912,198.0640519056052,39229.36865726627,0,0,0,0,1,0,0,0,0.6,735.3159013030912,1012.5003444616534,273.34182937215417,0,0,0,0,0,0,5,5062.501722308267,3,820.0254881164625,12620,34660,5,20,0,0,0,0,0,0,0,0,192.168.1.3,38104,2.969084493202558,255,4.502969458317178,9747.79863589116,0,0,0,BENIGN
80,17,2026-09-12 00:00:00.300,1807.022190945087,16,9,2315.3944114976503,11427.100749338295,173.65458086232377,115.76972057488251,144.71215071860314,28.942430143720628,1523.613433245106,1015.7422888300707,1269.6778610375884,253.93557220751768,7605050.579732234,13834.915877222737,72.28088763780347,23.937697403478072,156.4559661853595,45.076932166007836,1626.3199718505784,72.28088763780347,23.937697403478072,156.4559661853595,45.076932166007836,1445.6177527560696,72.28088763780347,23.937697403478072,156.4559661853595,45.076932166007836,1,0,0,0,320,180,8300.949526333641,5533.966350889095,173.82586611547455,929.3992753917533,549.6998064334377,200.2633455010601,40105.40755127696,0,1,0,1,1,0,0,0,0.5625,549.6998064334377,144.71215071860314,1269.6778610375884,0,0,0,0,0,0,16,2315.3944114976503,9,11427.100749338295,49668,45747,16,20,0,0,0,0,0,0,0,0,192.168.1.4,51656,2.8393778915680814,255,0.14175184062557133,48561.21425818012,0,0,0,BENIGN
80,6,2026-09-12 00:00:00.400,183930.61582658184,16,2,7610.984393866999,1541.0126618968936,570.8238295400249,380.54921969335,475.68652461668745,95.1373049233375,924.6075971381362,616.4050647587575,770.5063309484468,154.10126618968937,49757.877526995355,97.86298990577632,10218.367545921214,2388.2102251536885,21670.14694683563,6600.297271399195,165537.55424392366,10218.367545921214,2388.2102251536885,21670.14694683563,6600.297271399195,147144.49266126548,10218.367545921214,2388.2102251536885,21670.14694683563,6600.297271399195,0,0,0,0,320,40,58.717793943465786,39.14519596231053,193.62631369221884,1008.2737609217422,508.4442808757719,197.54535695068847,39024.16805277492,0,1,0,0,1,0,0,0,0.125,508.4442808757719,475.68652461668745,770.5063309484468,0,0,0,0,0,0,16,7610.984393866999,2,1541.0126618968936,21524,16585,16,20,0,0,0,0,0,0,0,0,192.168.1.5,4206,2.8931995746325723,255,2.627068446440215,53366.00079947299,0,0,0,BENIGN
22,6,2026-09-12 00:00:00.500,52241.71711210983,18,5,16645.85378169483,5212.430603371884,1109.723585446322,739.8157236308814,924.7696545386017,184.95393090772035,1250.983344809252,833.9888965395014,1042.4861206743767,208.49722413487535,418406.69858073787,440.26117959795226,2271.3790048743404,703.399291694768,4962.098716940011,1086.767097727597,47017.545400898845,2271.3790048743404,703.399291694768,4962.098716940011,1086.767097727597,41793.37368968787,2271.3790048743404,703.399291694768,4962.098716940011,1086.767097727597,0,0,0,0,360,100,264.15670775877135,176.10447183918092,387.7525814434478,1508.9944526681272,950.3601906550745,286.95168675477686,82341.27053141157,0,1,0,0,1,0,0,0,0.2777777777777778,950.3601906550745,924.7696545386017,1042.4861206743767,0,0,0,0,0,0,18,16645.85378169483,5,5212.430603371884,62559,47961,18,20,0,0,0,0,0,0,0,0,192.168.1.6,12972,2.918668526712946,64,2.2138868350121905,18995.659721948636,0,0,0,BENIGN
443,6,2026-09-12 00:00:00.600,28334.262907986835,8,5,6315.164626780923,411.84727420780035,947.2746940171384,631.5164626780924,789.3955783476154,157.8791156695231,98.84334580987208,65.89556387324807,82.36945484156007,16.473890968312016,237416.16017449036,458.8084765859772,2179.5586852297565,223.76080516221617,3698.6504807889146,1009.4258509341474,25500.836617188153,2179.5586852297565,223.76080516221617,3698.6504807889146,1009.4258509341474,22667.41032638947,2179.5586852297565,223.76080516221617,3698.6504807889146,1009.4258509341474,0,0,0,0,160,100,275.2850859515863,183.5233906343909,196.49973338239758,918.145146037133,517.4624539222094,54.39199490338309,2958.4891095696526,1,0,0,0,0,0,0,0,0.625,517.4624539222094,789.3955783476154,82.36945484156007,0,0,0,0,0,0,8,6315.164626780923,5,411.84727420780035,27073,36156,8,20,0,0,0,0,0,0,0,0,192.168.1.7,50006,2.0391505890529236,255,0.610312718090813,51172.72147394364,0,0,0,BENIGN
22,6,2026-09-12 00:00:00.700,49460.401228413546,8,14,10114.654802937088,17324.485897182745,1517.198220440563,1011.4654802937089,1264.331850367136,252.86637007342722,1484.9559340442354,989.970622696157,1237.4632783701961,247.49265567403924,554769.876883992,444.80027362498726,2248.2000558369796,456.4154422935305,4288.964470205578,500.5878578024307,44514.36110557219,2248.2000558369796,456.4154422935305,4288.964470205578,500.5878578024307,39568.32098273084,2248.2000558369796,456.4154422935305,4288.964470205578,500.5878578024307,1,0,0,0,160,280,266.88016417499233,177.92010944999492,372.6702920371234,2111.8694469933166,1247.233668187265,408.25183504405504,166669.56081683832,1,0,0,1,1,0,0,0,1.75,1247.233668187265,1264.331850367136,1237.4632783701961,0,0,0,0,0,0,8,10114.654802937088,14,17324.485897182745,19348,25546,8,20,0,0,0,0,0,0,0,0,192.168.1.8,57005,1.359074158252544,255,1.7031734299208245,39016.08583748664,0,0,0,BENIGN
80,6,2026-09-12 00:00:00.800,6557.647210306567,8,12,890.6741720506038,15350.144363445095,133.60112580759056,89.0674172050604,111.33427150632548,22.2668543012651,1535.0144363445095,1023.3429575630064,1279.178696953758,255.8357393907516,2476622.7908647205,3049.874346483029,327.88236051532834,57.331618676352896,679.3184324496951,39.74441231376895,5901.88248927591,327.88236051532834,57.331618676352896,679.3184324496951,39.74441231376895,5246.117768245254,327.88236051532834,57.331618676352896,679.3184324496951,39.74441231376895,1,0,0,0,160,240,1829.9246078898175,1219.9497385932116,398.80025292626317,1615.219407638684,812.0409267747849,237.0416818569457,56188.75893756946,0,1,0,1,1,0,0,0,1.5,812.0409267747849,111.33427150632548,1279.178696953758,0,0,0,0,0,0,8,890.6741720506038,12,15350.144363445095,32059,2322,8,20,0,0,0,0,0,0,0,0,192.168.1.9,41836,2.38638220496475,64,3.147283583084598,10713.552188329977,0,0,0,BENIGN
443,6,2026-09-12 00:00:00.900,36092.72968047847,9,12,4272.408560016858,5674.886862208956,569.6544746689144,379.7696497792763,474.71206222409535,94.94241244481907,567.4886862208955,378.3257908139304,472.90723851741296,94.5814477034826,275603.85457922355,581.8346294644016,1718.7014133561177,535.2626359341476,3267.4392265474894,1212.4231386661836,32483.456712430623,1718.7014133561177,535.2626359341476,3267.4392265474894,1212.4231386661836,28874.18374438278,1718.7014133561177,535.2626359341476,3267.4392265474894,1212.4231386661836,0,0,0,0,180,240,349.10077767864095,232.73385178576063,55.670374177248895,823.1262415298985,473.6807343917054,78.39654112991167,6146.017661133932,0,1,0,0,1,0,0,0,1.3333333333333333,473.6807343917054,474.71206222409535,472.90723851741296,0,0,0,0,0,0,9,4272.408560016858,12,5674.886862208956,33966,31302,9,20,0,0,0,0,0,0,0,0,192.168.1.10,37704,0.20046236216231683,255,0.857288694441124,15700.579289888909,0,0,0,BENIGN
